date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Sep%202020%2002:41:59%20GMT	http://nike747459.wixsite.com/mydiary	C:/My%20Web%20Sites/mahang2/nike747459.wixsite.com/mydiary.0.delayed	(from )
11:42:00	479505/479505	---MCZ	200	added ('OK')	text/html	etag:W/%22b473cf2e438b33c19cfed8e3d05dbdad%22	https://nike747459.wixsite.com/mydiary	C:/My%20Web%20Sites/mahang2/nike747459.wixsite.com/mydiary.html	(from )
11:42:01	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://nike747459.wixsite.com/robots.txt		(from )
11:42:01	2996/2996	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Sep%202020%2002:42:00%20GMT	https://nike747459.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/mahang2/nike747459.wixsite.com/sitemap.xml	(from https://nike747459.wixsite.com/mydiary)
11:42:01	2996/2996	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Sep%202020%2002:42:01%20GMT	https://nike747459.wixsite.com/feed.xml	C:/My%20Web%20Sites/mahang2/nike747459.wixsite.com/feed.xml	(from https://nike747459.wixsite.com/mydiary)
11:42:01	2996/2996	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Sep%202020%2002:42:01%20GMT	https://nike747459.wixsite.com/POST	C:/My%20Web%20Sites/mahang2/nike747459.wixsite.com/POST	(from https://nike747459.wixsite.com/mydiary)
11:42:01	2996/2996	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Sep%202020%2002:42:01%20GMT	https://nike747459.wixsite.com/	C:/My%20Web%20Sites/mahang2/nike747459.wixsite.com/index.html	(from https://nike747459.wixsite.com/mydiary)
11:42:01	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/My%20Web%20Sites/mahang2/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://nike747459.wixsite.com/mydiary)
11:42:02	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/mahang2/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://nike747459.wixsite.com/mydiary)
11:42:02	14805/14805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/My%20Web%20Sites/mahang2/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://nike747459.wixsite.com/mydiary)
11:42:03	142432/142432	---M-Z	200	added ('OK')	application/javascript	etag:W/%223f1cdc22f75196d5c4d751ab41915cab%22	https://static.parastorage.com/services/wix-bolt/1.6646.0/bolt-main/app/bolt-custom-elements.min.js	C:/My%20Web%20Sites/mahang2/static.parastorage.com/services/wix-bolt/1.6646.0/bolt-main/app/bolt-custom-elements.min.js	(from https://nike747459.wixsite.com/mydiary)
11:42:03	17493/17493	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/My%20Web%20Sites/mahang2/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://nike747459.wixsite.com/mydiary)
11:42:04	754861/754861	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ebfdf6c8ecee11d86b6604627a5ca5a%22	https://nike747459.wixsite.com/_partials/wix-bolt/1.6646.0/node_modules/viewer-platform-worker/dist/wixcode-worker.js	C:/My%20Web%20Sites/mahang2/nike747459.wixsite.com/_partials/wix-bolt/1.6646.0/node_modules/viewer-platform-worker/dist/wixcode-worker.js	(from https://nike747459.wixsite.com/mydiary)
11:42:04	23528/23528	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f5934c142b480054f08ac792a2ef0f6f%22	https://static.parastorage.com/services/wix-perf-measure/1.238.0/wix-perf-measure.bundle.min.js	C:/My%20Web%20Sites/mahang2/static.parastorage.com/services/wix-perf-measure/1.238.0/wix-perf-measure.bundle.min.js	(from https://nike747459.wixsite.com/mydiary)
11:42:04	9969/9969	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269058c409a71528fa4be8ab659d4cc24%22	https://static.parastorage.com/services/tag-manager-client/1.186.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/mahang2/static.parastorage.com/services/tag-manager-client/1.186.0/siteTags.bundle.min.js	(from https://nike747459.wixsite.com/mydiary)
11:42:04	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/My%20Web%20Sites/mahang2/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://nike747459.wixsite.com/mydiary)
11:42:05	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/My%20Web%20Sites/mahang2/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://nike747459.wixsite.com/mydiary)
